Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BBK,Blackrock Municipal Bond Trust,15.24,$160.35M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bbk
BBF,BlackRock Municipal Income Investment Trust,14.59,$149M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bbf
BYM,Blackrock Municipal Income Quality Trust,14.25,$376.29M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bym
BFK,BlackRock Municipal Income Trust,14.27,$639.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bfk
BTT,BlackRock Municipal Target Term Trust Inc. (The),23.39,$1.65B,2012,n/a,n/a,http://www.nasdaq.com/symbol/btt
MEN,Blackrock MuniEnhanced Fund Inc.,11.99,$355.43M,1989,n/a,n/a,http://www.nasdaq.com/symbol/men
MUC,Blackrock MuniHoldings California Quality Fund  Inc.,14.45,$592.49M,1998,n/a,n/a,http://www.nasdaq.com/symbol/muc
MUH,Blackrock MuniHoldings Fund II Inc.,15.9599,$180.57M,1998,n/a,n/a,http://www.nasdaq.com/symbol/muh
MHD,Blackrock MuniHoldings Fund Inc.,17.3,$245.02M,1997,n/a,n/a,http://www.nasdaq.com/symbol/mhd
MFL,Blackrock MuniHoldings Investment Quality Fund,14.65,$554.45M,1997,n/a,n/a,http://www.nasdaq.com/symbol/mfl
MUJ,Blackrock MuniHoldings New Jersey Insured Fund Inc.,14.54,$438.44M,1998,n/a,n/a,http://www.nasdaq.com/symbol/muj
MHN,Blackrock MuniHoldings New York Quality Fund Inc.,13.82,$430.24M,1997,n/a,n/a,http://www.nasdaq.com/symbol/mhn
MUE,Blackrock MuniHoldings Quality Fund II Inc.,13.91,$313.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mue
MUS,Blackrock MuniHoldings Quality Fund Inc.,13.62,$177.27M,1998,n/a,n/a,http://www.nasdaq.com/symbol/mus
MVT,Blackrock MuniVest Fund II Inc.,16.01,$338.32M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mvt
MYC,Blackrock MuniYield California Fund Inc.,15.28,$327.11M,1992,n/a,n/a,http://www.nasdaq.com/symbol/myc
MCA,Blackrock MuniYield California Insured Fund Inc.,15.07,$518.49M,1992,n/a,n/a,http://www.nasdaq.com/symbol/mca
MYD,Blackrock MuniYield Fund Inc.,14.88,$695.74M,1991,n/a,n/a,http://www.nasdaq.com/symbol/myd
MYF,Blackrock MuniYield Investment Fund,16.14,$220.51M,1992,n/a,n/a,http://www.nasdaq.com/symbol/myf
MFT,Blackrock MuniYield Investment QualityFund,14.17,$120.08M,1992,n/a,n/a,http://www.nasdaq.com/symbol/mft
MIY,Blackrock MuniYield Michigan Quality Fund Inc.,14.02,$414.69M,1992,n/a,n/a,http://www.nasdaq.com/symbol/miy
MYJ,Blackrock MuniYield New Jersey Fund Inc.,15.92,$228.28M,1992,n/a,n/a,http://www.nasdaq.com/symbol/myj
MYN,Blackrock MuniYield New York Quality Fund Inc.,13.11,$518.98M,1992,n/a,n/a,http://www.nasdaq.com/symbol/myn
MPA,Blackrock MuniYield Pennsylvania Quality Fund,14.43,$192.67M,1992,n/a,n/a,http://www.nasdaq.com/symbol/mpa
MQT,Blackrock MuniYield Quality Fund II Inc.,13.09,$295.28M,1992,n/a,n/a,http://www.nasdaq.com/symbol/mqt
MYI,Blackrock MuniYield Quality Fund III Inc.,14.3901,$979.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/myi
MQY,Blackrock MuniYield Quality Fund Inc.,15.5,$475.85M,1992,n/a,n/a,http://www.nasdaq.com/symbol/mqy
BNJ,BlackRock New Jersey Municipal Income Trust,15.29,$117.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bnj
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,14.789,$191.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bny
BLH,Blackrock New York Municipal 2018 Term Trust,14.96,$54.35M,2001,n/a,n/a,http://www.nasdaq.com/symbol/blh
BQH,Blackrock New York Municipal Bond Trust,14.39,$40.29M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bqh
BSE,Blackrock New York Municipal Income Quality Trust,13.4601,$87.76M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bse
BCX,BlackRock Resources,8.225,$814.77M,2011,n/a,n/a,http://www.nasdaq.com/symbol/bcx
BST,BlackRock Science and Technology Trust,22.92,$515.87M,2014,n/a,n/a,http://www.nasdaq.com/symbol/bst
BSD,BlackRock Strategic Municipal Trust Inc. (The),13.8,$100.83M,1999,n/a,n/a,http://www.nasdaq.com/symbol/bsd
BUI,BlackRock Utility and Infrastructure Trust,21.21,$358.6M,2011,n/a,n/a,http://www.nasdaq.com/symbol/bui
BLK,BlackRock Inc.,418.5,$67.65B,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/blk
BGB,Blackstone / GSO Strategic Credit Fund,16.04,$716.42M,2012,n/a,n/a,http://www.nasdaq.com/symbol/bgb
BGX,Blackstone GSO Long Short Credit Income Fund,16.44,$208.82M,2011,n/a,n/a,http://www.nasdaq.com/symbol/bgx
BSL,Blackstone GSO Senior Floating Rate Term Fund,17.88,$272.23M,2010,n/a,n/a,http://www.nasdaq.com/symbol/bsl
BCRH,Blue Capital Reinsurance Holdings Ltd.,18.8,$164.61M,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/bcrh
BXC,BlueLinx Holdings Inc.,10.3895,$94.24M,2004,Capital Goods,Wholesale Distributors,http://www.nasdaq.com/symbol/bxc
BWP,Boardwalk Pipeline Partners L.P.,17.35,$4.34B,2005,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/bwp
BA,Boeing Company (The),190.03,$114.7B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/ba
BCC,Boise Cascade L.L.C.,29.65,$1.14B,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bcc
BCEI,Bonanza Creek Energy Inc.,34.94,$710.9M,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bcei
BOOT,Boot Barn Holdings Inc.,6.57,$174.51M,2014,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/boot
BAH,Booz Allen Hamilton Holding Corporation,38.57,$5.71B,2010,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/bah
BWA,BorgWarner Inc.,42.96,$9.12B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/bwa
SAM,Boston Beer Company Inc. (The),137.55,$1.7B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/sam
BXP,Boston Properties Inc.,125.24,$19.27B,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bxp
BXP^B,Boston Properties Inc.,25.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bxp^b
BSX,Boston Scientific Corporation,27.82,$38.1B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bsx
BOX,Box Inc.,18.46,$2.45B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BYD,Boyd Gaming Corporation,24.89,$2.82B,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/byd
BP,BP p.l.c.,35.83,$117.43B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bp
BPT,BP Prudhoe Bay Royalty Trust,20.9,$447.26M,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bpt
BRC,Brady Corporation,36.25,$1.86B,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/brc
BDN,Brandywine Realty Trust,17.27,$3.03B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bdn
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,3.8623,$224.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnd
BAK,Braskem S.A.,20.59,$8.2B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bak
BRFS,BRF S.A.,12.69,$10.14B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/brfs
BPI,Bridgepoint Education Inc.,14.09,$405.61M,2009,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bpi
BGG,Briggs & Stratton Corporation,24.9,$1.07B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bgg
BFAM,Bright Horizons Family Solutions Inc.,76.28,$4.56B,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam
BEDU,Bright Scholar Education Holdings Limited,12.9,$1.48B,2017,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bedu
EAT,Brinker International Inc.,41.39,$2.03B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/eat
BCO,Brink&#39;s Company (The),64.8,$3.27B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/bco
BMY,Bristol-Myers Squibb Company,53.75,$88.55B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmy
BRS,Bristow Group Inc,7.36,$259.2M,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/brs
BRX,Brixmor Property Group Inc.,18.87,$5.75B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brx
BR,Broadridge Financial Solutions Inc.,74.24,$8.73B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br
BKD,Brookdale Senior Living Inc.,14.07,$2.62B,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
BAM,Brookfield Asset Management Inc,38.16,$37.72B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/bam
BBU,Brookfield Business Partners L.P.,26.4248,$1.37B,2016,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/bbu
BOXC,Brookfield Canada Office Properties,24.09,$636.76M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/boxc
DTLA^,Brookfield DTLA Inc.,25.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dtla^
INF,Brookfield Global Listed Infrastructure Income Fund,13.94,$192.36M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/inf
BIP,Brookfield Infrastructure Partners LP,40.15,$10.75B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/bip
BPY,Brookfield Property Partners L.P.,23.2,$5.94B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/bpy
RA,Brookfield Real Assets Income Fund Inc.,23.75,$866.8M,2016,n/a,n/a,http://www.nasdaq.com/symbol/ra
BEP,Brookfield Renewable Partners L.P.,31.65,$5.28B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bep
BRO,Brown & Brown Inc.,43.85,$6.15B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/bro
BF.A,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.a
BF.B,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.b
BRT,BRT Apartments Corp.,7.99,$112.18M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brt
BC,Brunswick Corporation,60.79,$5.43B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bc
BT,BT Group plc,19,$37.88B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bt
BPL,Buckeye Partners L.P.,63.55,$8.93B,1986,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bpl
BKE,Buckle Inc. (The),17.9,$874.39M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/bke
BVN,Buenaventura Mining Company Inc.,12.73,$3.24B,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
BBW,Build-A-Bear Workshop Inc.,11.1,$177.62M,2004,Consumer Services,Recreational Products/Toys,http://www.nasdaq.com/symbol/bbw
BG,Bunge Limited,79.06,$11.1B,2001,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bg
BURL,Burlington Stores Inc.,99.57,$6.95B,2013,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/burl
BWXT,BWX Technologies Inc.,47.92,$4.75B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwxt
CJ,C,34.83,$2.2B,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cj
BCR,C.R. Bard Inc.,314.25,$22.76B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bcr
GYB,CABCO Series 2004-101 Trust,22.8692,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyb
PFH,CABCO Series 2004-101 Trust,17.2899,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/pfh
CAB,Cabela&#39;s Inc,56.02,$3.86B,2004,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab
CABO,Cable One Inc.,724.27,$4.15B,2015,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo
CBT,Cabot Corporation,53.53,$3.34B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
COG,Cabot Oil & Gas Corporation,22.88,$10.65B,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cog
CACI,CACI International Inc.,123.5,$3.02B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CADE,Cadence Bancorporation,23.45,$1.96B,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/cade
CAE,CAE Inc,16.48,$4.42B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cae
CAI,CAI International Inc.,21.99,$423.39M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
CAA,CalAtlantic Group Inc.,34.26,$3.93B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/caa
CAL,Caleres Inc.,27.51,$1.18B,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/cal
CCC,Calgon Carbon Corporation,15.25,$773.99M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ccc
CRC,California Resources Corporation,10.79,$459.58M,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crc
CWT,California Water  Service Group Holding,37.5,$1.8B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwt
CALX,Calix Inc,7.1,$354.12M,2010,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/calx
ELY,Callaway Golf Company,12.7,$1.19B,1992,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/ely
CPE,Callon Petroleum Company,11.08,$2.23B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe
CPE^A,Callon Petroleum Company,53.39,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe^a
CPN,Calpine Corporation,13.36,$4.82B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpn
CBM,Cambrex Corporation,57.8,$1.88B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbm
CPT,Camden Property Trust,86.62,$7.59B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt
CCJ,Cameco Corporation,9.5,$3.76B,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ccj
CPB,Campbell Soup Company,56.54,$17.21B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cpb
CWH,Camping World Holdings Inc.,29.38,$2.39B,2016,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cwh
GOOS,Canada Goose Holdings Inc.,22.11,$511.31M,2017,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/goos
CM,Canadian Imperial Bank of Commerce,79.79,$32.05B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/cm
CNI,Canadian National Railway Company,79.21,$59.98B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/cni
CNQ,Canadian Natural Resources Limited,29.25,$35.53B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cnq
CP,Canadian Pacific Railway Limited,153.42,$22.51B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/cp
CAJ,Canon Inc.,35.01,$38.23B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/caj
CMD,Cantel Medical Corp.,75.87,$3.17B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cmd
COF,Capital One Financial Corporation,80.07,$38.67B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/cof
COF.WS,Capital One Financial Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof.ws
COF^C,Capital One Financial Corporation,26.37,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cof^c
COF^D,Capital One Financial Corporation,27.31,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^d
COF^F,Capital One Financial Corporation,26.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^f
COF^G,Capital One Financial Corporation,24.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^g
COF^H,Capital One Financial Corporation,25.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^h
COF^P,Capital One Financial Corporation,25.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^p
CSU,Capital Senior Living Corporation,14.33,$434.18M,1997,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/csu
BXMT,Capital Trust Inc.,31.35,$2.97B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bxmt
CLA.CL,Capitala Finance Corp.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cla.cl
CMO,Capstead Mortgage Corporation,10.81,$1.04B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmo
CMO^E,Capstead Mortgage Corporation,24.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmo^e
CRR,Carbo Ceramics Inc.,7.26,$197.04M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/crr
CAH,Cardinal Health Inc.,75.2,$23.75B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/cah
CCP,Care Capital Properties Inc.,25.31,$2.13B,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ccp
CRCM,Care.com Inc.,15.08,$443.41M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/crcm
CSL,Carlisle Companies Incorporated,98.84,$6.38B,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/csl
KMX,CarMax Inc,59.61,$11.04B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kmx
CCL,Carnival Corporation,63.34,$45.78B,1987,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/ccl
CUK,Carnival Corporation,63.66,$46.26B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/cuk
CRS,Carpenter Technology Corporation,38.56,$1.8B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/crs
CSV,Carriage Services Inc.,26.56,$443.64M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/csv
CARS,Cars.com Inc.,25.81,n/a,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/cars
CRI,Carter&#39;s Inc.,86.08,$4.17B,2003,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/cri
CVNA,Carvana Co.,13.3,n/a,2017,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cvna
CSLT,Castlight Health inc.,3.75,$489.43M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/cslt
CTLT,Catalent Inc.,37.3,$4.66B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctlt
CTT           ,CatchMark Timber Trust Inc.,11.71,$454.47M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctt
CAT,Caterpillar Inc.,105.92,$62.4B,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cat
CATO,Cato Corporation (The),17.65,$454.58M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/cato
CBZ,CBIZ Inc.,15.45,$840.31M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cbz
CBL,CBL & Associates Properties Inc.,8.1,$1.39B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cbl
CBL^D,CBL & Associates Properties Inc.,23.005,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbl^d
CBL^E,CBL & Associates Properties Inc.,23.433,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbl^e
CBO,CBO (Listing Market - NYSE - Networks A/E),20.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbo
IGR,CBRE Clarion Global Real Estate Income Fund,7.71,$898.91M,2004,n/a,n/a,http://www.nasdaq.com/symbol/igr
CBG,CBRE Group Inc.,34.94,$11.81B,2004,Finance,Real Estate,http://www.nasdaq.com/symbol/cbg
CBS,CBS Corporation,60.71,$24.65B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cbs
CBS.A,CBS Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbs.a
CBX,CBX (Listing Market NYSE Networks AE,1.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbx
CDI,CDI Corporation,6,$112.15M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/cdi
FUN,Cedar Fair L.P.,70.1,$3.94B,1987,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/fun
CDR,Cedar Realty Trust Inc.,5.26,$450.06M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdr
CDR^B,Cedar Realty Trust Inc.,25.2001,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cdr^b
CGI,Celadon Group Inc.,2.25,$63.67M,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cgi
CE,Celanese Corporation,90.12,$12.71B,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce
CLS,Celestica Inc.,14.04,$1.75B,1998,Technology,Electrical Products,http://www.nasdaq.com/symbol/cls
CEL,Cellcom Israel Ltd.,9.69,$974.87M,2007,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cel
CPAC,Cementos Pacasmayo S.A.A.,11.37,$973.51M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpac
CX,Cemex S.A.B. de C.V.,9.27,$4.52B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cx
CNCO,Cencosud S.A.,8.2,$7.82B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cnco
CVE,Cenovus Energy Inc,8.25,$10.14B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cve
CNC,Centene Corporation,77.5,$13.35B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cnc
CEN,Center Coast MLP & Infrastructure Fund,11,$228.46M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cen
CNP,CenterPoint Energy Inc.,28.24,$12.17B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cnp
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,3.92,$5.3B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ebr
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobras,n/a,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/ebr.b
CEE,Central Europe Russia and Turkey Fund Inc. (The),21.65,$167.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cee
CCS,Century Communities Inc.,25.2,$561.73M,2014,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/ccs
CTL,CenturyLink Inc.,26.11,$14.33B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctl
CVO,Cenveo Inc,6.31,$53.97M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cvo
CF,CF Industries Holdings Inc.,27.25,$6.35B,2005,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cf
CGG,CGG,5.2967,$117.23M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cgg
GIB,CGI Group Inc.,49.89,$13.14B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/gib
ECOM          ,ChannelAdvisor Corporation,11.9,$313.33M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ecom
CRL,Charles River Laboratories International Inc.,94.23,$4.49B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/crl
CLDT,Chatham Lodging Trust (REIT),20.1,$771.94M,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cldt
CMCM,Cheetah Mobile Inc.,11.17,$1.6B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmcm
CHGG,Chegg Inc.,12.35,$1.17B,2013,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/chgg
CHE,Chemed Corp.,211.35,$3.4B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/che
CC,Chemours Company (The),40.1,$7.4B,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cc
CHMI,Cherry Hill Mortgage Investment Corporation,18.17,$230.77M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chmi
CHK,Chesapeake Energy Corporation,4.97,$4.51B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chk
CHK^D,Chesapeake Energy Corporation,52.67,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chk^d
CHKR,Chesapeake Granite Wash Trust,2.5,$116.88M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CHSP,Chesapeake Lodging Trust,24.34,$1.46B,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chsp
CHSP^A.CL,Chesapeake Lodging Trust,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chsp^a.cl
CPK,Chesapeake Utilities Corporation,76.55,$1.25B,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/cpk
CVX,Chevron Corporation,106.4,$201.58B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx
CBI,Chicago Bridge & Iron Company N.V.,16.16,$1.63B,1997,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cbi
CHS,Chico&#39;s FAS Inc.,9.32,$1.21B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/chs
CIM,Chimera Investment Corporation,19.01,$3.57B,2007,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cim
CIM^A,Chimera Investment Corporation,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cim^a
